"lang"
{
  "Language"    "English"
    "TTT_SEARCH_DMG_STAB"               "They were stabbed and cut before quickly bleeding to death."
    "TTT_SEARCH_DMG_BURN"               "Smells like roasted terrorist around here..."
    "TTT_SEARCH_DMG_TELE"               "It looks like their DNA was scrambled by tachyon emissions!"
    "TTT_SEARCH_DMG_CAR"                "When this terrorist crossed the road, they were run over by a reckless driver."
    "TTT_SEARCH_DMG_OTHER"              "You cannot find a specific cause of this terrorist's death."
    "TTT_SEARCH_WEAPON"                 "It appears a %s was used to kill them."
    "TTT_SEARCH_HEAD"                   "The fatal wound was a headshot. No time to scream."
    "TTT_SEARCH_TIME"                   "They died roughly %s before you conducted the search."
    "TTT_SEARCH_DNA"                    "Retrieve a sample of the killer's DNA with a DNA Scanner. The DNA sample will decay roughly %s from now."
    "TTT_SEARCH_KILLS1"                 "You found a list of kills that confirms the death of %s."
    "TTT_SEARCH_KILLS2"                 "You found a list of kills with these names:"
    "TTT_SEARCH_EYES"                   "Using your detective skills, you identified the last person they saw: %s. The killer, or a coincidence?"
    // Scoreboard
    "TTT_SB_PLAYING"                    "You are playing on..."
    "TTT_SB_MAPCHANGE"                  "Map changes in %d rounds or in %s"
    "TTT_SB_MIA"                        "Missing In Action"
    "TTT_SB_CONFIRMED"                  "Confirmed Dead"
    "TTT_SB_PING"                       "Ping"
    "TTT_SB_DEATHS"                     "Deaths"
    "TTT_SB_SCORE"                      "Score"
    "TTT_SB_KARMA"                      "Karma"
    "TTT_SB_VOICE"                      "Voice"
    "TTT_SB_INFO_HELP"                  "Search this player's body, and you can review the results here."
    "TTT_SB_TAG_FRIEND"                 "FRIEND"
    "TTT_SB_TAG_SUSP"                   "SUSPECT"
    "TTT_SB_TAG_AVOID"                  "AVOID"
    "TTT_SB_TAG_KILL"                   "KILL"
    "TTT_SB_TAG_MISS"                   "MISSING"
    "TTT_SB_STATUS_ADMIN"               "Admin"
    "TTT_SB_STATUS_DEV"                 "TTT Classic Dev"
    "TTT_SB_STATUS_MAPPER"              "Map Author"
    // Help and settings menu (F1)
    "TTT_HELP_TITLE"                    "Help and Settings"
    "TTT_HELP_TUT"                      "Tutorial"
    "TTT_HELP_TUT_TIP"                  "How TTT works, in 6 steps"
    "TTT_HELP_SETTINGS"                 "Settings"
    "TTT_HELP_SETTINGS_TIP"             "Client-side settings"
    // Settings
    "TTT_SET_TITLE_GUI"                 "Interface settings"
    "TTT_SET_TIPS"                      "Show gameplay tips at the bottom of the screen while spectating"
    "TTT_SET_STARTPOPUP"                "Start of round info popup duration"
    "TTT_SET_STARTPOPUP_TIP"            "When the round starts, a small popup appears at the bottom of your screen for a few seconds. Change the time it displays for here."
    "TTT_SET_CROSS_OPACITY"             "Opacity (iron sights)"
    "TTT_SET_CROSS_DISABLE"             "Disable crosshair completely"
    "TTT_SET_MINIMAL_ID"                "Minimalist Target ID under crosshair (no karma text, hints, etc)"
    "TTT_SET_HEALTHLABEL"               "Show health status label on health bar"
    "TTT_SET_LOWSIGHTS"                 "Lower weapon when using iron sights"
    "TTT_SET_LOWSIGHTS_TIP"             "Enable to position the weapon model lower on the screen while using iron sights. This will make it easier to see your target, but it will look less realistic."
    "TTT_SET_FASTSW"                    "Fast weapon switch"
    "TTT_SET_FASTSW_TIP"                "Enable to cycle through weapons without having to click again to use weapon. Enable show menu to show switcher menu."
    "TTT_SET_FASTSW_MENU"               "Enable menu with fast weapon switch"
    "TTT_SET_FASTSWMENU_TIP"            "When fast weapons switch is enabled, the menu switcher menu will popup."
    "TTT_SET_WSWITCH"                   "Disable weapon switch menu auto-closing"
    "TTT_SET_WSWITCH_TIP"               "By default the weapon switcher automatically closes a few seconds after you last scroll. Enable this to make it stay up."
    "TTT_SET_CUES"                      "Play sound cue when a round begins or ends"
    "TTT_SET_MSG_CUE"                   "Play sound cue when a notification appears"
    "TTT_SET_TITLE_PLAY"                "Gameplay settings"
    "TTT_SET_SPECMODE"                  "Spectate-only mode (always stay spectator)"
    "TTT_SET_SPECMODE_TIP"              "Spectate-only mode will prevent you from respawning when a new round starts, instead you stay Spectator."
    "TTT_SET_MUTE"                      "Mute living players when dead"
    "TTT_SET_MUTE_TIP"                  "Enable to mute living players while you are dead/spectator."
    "TTT_SET_TITLE_LANG"                "Language settings"
    "TTT_SET_LANG"                      "Select language:"
    // Weapons and equipment, HUD and messages
    "TTT_BUY_NO_STOCK"                  "This weapon is out of stock: you already bought it this round."
    "TTT_BUY_PENDING"                   "You already have an order pending, wait until you receive it."
    "TTT_BUY_RECEIVED"                  "You have received your special equipment."
    "TTT_BUY_NOT_ACTIVE"                "You cannot buy equipment, the round is not active."
    "TTT_BUY_INNOCENT"                  "You cannot purchase equipment, you are not a traitor or detective."
    "TTT_BUY_WRONG_ROLE"                "You cannot purchase this equipment."
    "TTT_EQUIP_CANNOT_AFFORD"           "You cannot purchase equipment, you have no credits."
    "TTT_DROP_NO_ROOM"                  "You have no room here to drop your weapon!"
    "TTT_DROP_NO_ROOM_AMMO"             "You have no room here to drop your ammo!"
    "TTT_DISG_TURNED_ON"                "Disguise enabled!"
    "TTT_DISG_TURNED_OFF"               "Disguise disabled."
    // Equipment item descriptions
    "TTT_ITEM_PASSIVE"                  "Passive effect item"
    "TTT_ITEM_ACTIVE"                   "Active use item"
    "TTT_ITEM_WEAPON"                   "Weapon"
    "TTT_ITEM_ARMOR"                    "Body Armor"
    "TTT_ITEM_ARMOR_DESC"               "Reduces bullet damage by 30%% when\nyou get hit.\n\nDefault equipment for Detectives."
    "TTT_ITEM_RADAR"                    "Radar"
    "TTT_ITEM_RADAR_DESC"               "Allows you to scan for life signs.\n\nStarts automatic scans as soon as you\nbuy it. Configure it in Radar tab of this\nmenu."
    "TTT_ITEM_DISG"                     "Disguiser"
    "TTT_ITEM_DISG_DESC"                "Hides your ID info while on. Also avoids\nbeing the person last seen by a victim.\n\nToggle in the Disguise tab of this menu\nor press %s."
    // C4
    "TTT_C4_NAME"                       "C4"
    "TTT_C4_HINT"                       "Press %s to arm or disarm."
    "TTT_C4_NO_DISARM"                  "You cannot disarm another Traitor's C4 unless they are dead."
    "TTT_C4_DISARM_WARN"                "A C4 explosive you planted has been disarmed."
    "TTT_C4_ARMED"                      "You have successfully armed the bomb."
    "TTT_C4_DISARMED"                   "You have successfully disarmed the bomb."
    "TTT_C4_NO_ROOM"                    "You cannot carry this C4."
    "TTT_C4_DESC"                       "Powerful timed explosive."
    "TTT_C4_ARM"                        "Arm C4"
    "TTT_C4_ARM_TIMER"                  "Timer"
    "TTT_C4_ARM_SECONDS"                "Seconds until detonation:"
    "TTT_C4_ARM_ATTEMPTS"               "In disarm attempts, %d of the 6 wires will cause instant detonation when cut."
    "TTT_C4_REMOVE_TITLE"               "Removal"
    "TTT_C4_REMOVE_PICKUP"              "Pick up C4"
    "TTT_C4_REMOVE_DESTROY1"            "Destroy C4"
    "TTT_C4_REMOVE_DESTROY2"            "Confirm: destroy"
    "TTT_C4_DISARM"                     "Disarm C4"
    "TTT_C4_DISARM_CUT"                 "Click to cut wire %d"
    "TTT_C4_DISARM_T"                   "Cut a wire to disarm the bomb. As you are a Traitor, every wire is safe. Innocents don't have it so easy!"
    "TTT_C4_DISARM_OWNED"               "Cut a wire to disarm the bomb. It's your bomb, so every wire will disarm it."
    "TTT_C4_DISARM_OTHER"               "Cut a safe wire to disarm the bomb. It will explode if you get it wrong!"
    "TTT_C4_STATUS_ARMED"               "ARMED"
    "TTT_C4_STATUS_DISARMED"            "DISARMED"
    // Visualizer
    "TTT_VIS_NAME"                      "Visualizer"
    "TTT_VIS_HINT"                      "Press %s to pick up (Detectives only)."
    "TTT_VIS_HELP_PRI"                  "%s drops the activated device."
    "TTT_VIS_DESC"                      "Crime scene visualization device.\n\nAnalyzes a corpse to show how the victim was killed, but only if they died of gunshot wounds."
    // Decoy
    "TTT_DECOY_NAME"                    "Decoy"
    "TTT_DECOY_NO_ROOM"                 "You cannot carry this decoy."
    "TTT_DECOY_BROKEN"                  "Your Decoy has been destroyed!"
    "TTT_DECOY_HELP_PRI"                "%s plants the Decoy."
    "TTT_DECOY_DESC"                    "Shows a fake radar sign to detectives, and makes their DNA scanner show the location of the Decoy if they scan for your DNA."
    // Defuser
    "TTT_DEFUSER_NAME"                  "Defuser"
    "TTT_DEFUSER_HELP"                  "%s defuses targeted C4."
    "TTT_DEFUSER_DESC"                  "Instantly defuse a C4 explosive.\n\nUnlimited uses. C4 will be easier to notice if you carry this."
    // Flare gun
    "TTT_FLARE_NAME"                    "Flare gun"
    "TTT_FLARE_DESC"                    "Can be used to burn corpses so that they are never found. Limited ammo.\n\nBurning a corpse makes a distinct sound."
    // Health station
    "TTT_HSTATION_NAME"                 "Health Station"
    "TTT_HSTATION_HINT"                 "Hold %s to receive health. Charge: %d."
    "TTT_HSTATION_BROKEN"               "Your Health Station has been destroyed!"
    "TTT_HSTATION_HELP"                 "%s places the Health Station."
    "TTT_HSTATION_DESC"                 "Allows people to heal when placed.\n\nSlow recharge. Anyone can use it, and it can be damaged. Can be checked for DNA samples of its users."
    // Knife
    "TTT_KNIFE_NAME"                    "Knife"
    "TTT_KNIFE_THROWN"                  "Thrown knife"
    "TTT_KNIFE_DESC"                    "Kills wounded targets instantly and silently, but only has a single use.\n\nCan be thrown using alternate fire."
    "TTT_KNIFE_HELP_PRI"                "%s to slash."
    "TTT_KNIFE_HELP_SEC"                "%s to throw."
    // Poltergeist
    "TTT_POLTER_DESC"                   "Plants thumpers on objects to shove them around violently.\n\nThe energy bursts damage people in close proximity."
    // Radio
    "TTT_RADIO_BROKEN"                  "Your Radio has been destroyed!"
    "TTT_RADIO_HELP_PRI"                "%s tosses the Radio."
    "TTT_RADIO_HELP_SEC"                "%s places the Radio."
    "TTT_RADIO_DESC"                    "Plays sounds to distract or deceive.\n\nPlace the radio somewhere, and then play sounds on it using the Radio tab in this menu."
    // Silenced pistol
    "TTT_SIPISTOL_NAME"                 "Silenced Pistol"
    "TTT_SIPISTOL_DESC"                 "Low-noise handgun, uses normal pistol ammo.\n\nVictims will not scream when killed."
    // Newton launcher
    "TTT_NEWTON_NAME"                   "Newton launcher"
    "TTT_NEWTON_DESC"                   "Push people from a safe distance.\n\nInfinite ammo, but slow to fire."
    "TTT_NEWTON_FORCE"                  "FORCE"
    "TTT_NEWTON_HELP_PRI"               "%s to push."
    "TTT_NEWTON_HELP_SEC"               "Hold %s to charge."
    // Binoculars
    "TTT_BINOC_NAME"                    "Binoculars"
    "TTT_BINOC_DESC"                    "Zoom in on corpses and identify them from a long distance away.\n\nUnlimited uses, but identification takes a few seconds."
    "TTT_BINOC_HELP_PRI"                "%s identifies a body."
    "TTT_BINOC_HELP_SEC"                "%s changes zoom level."
    // UMP
    "TTT_UMP_DESC"                      "Experimental SMG that disorients targets.\n\nUses standard SMG ammo."
    // DNA scanner
    "TTT_DNA_NAME"                      "DNA scanner"
    "TTT_DNA_IDENTIFY"                  "Corpse must be identified to retrieve killer's DNA."
    "TTT_DNA_NOTFOUND"                  "No DNA sample found on target."
    "TTT_DNA_LIMIT"                     "Storage limit reached. Remove old samples to add new ones."
    "TTT_DNA_DECAYED"                   "DNA sample of the killer has decayed."
    "TTT_DNA_KILLER"                    "Collected a sample of the killer's DNA from the corpse!"
    "TTT_DNA_NO_KILLER"                 "The DNA could not be retrieved (killer disconnected?)."
    "TTT_DNA_ARMED"                     "This bomb is live! Disarm it first!"
    "TTT_DNA_OBJECT"                    "Collected %d new DNA sample(s) from the object."
    "TTT_DNA_GONE"                      "DNA not detected in area."
    "TTT_DNA_DESC"                      "Collect DNA samples from things and use them to find the DNA's owner.\n\nUse on fresh corpses to get the killer's DNA and track them down."
    "TTT_DNA_MENU_TITLE"                "DNA scanning controls"
    "TTT_DNA_MENU_SAMPLE"               "DNA sample found on %s"
    "TTT_DNA_MENU_REMOVE"               "Remove selected"
    "TTT_DNA_MENU_HELP1"                "These are DNA samples you have collected."
    "TTT_DNA_MENU_HELP2"                "When charged, you can scan for the location of the player the selected DNA sample belongs to. Finding distant targets drains more energy."
    "TTT_DNA_MENU_SCAN"                 "Scan"
    "TTT_DNA_MENU_REPEAT"               "Auto-repeat"
    "TTT_DNA_MENU_READY"                "READY"
    "TTT_DNA_MENU_CHARGE"               "CHARGING"
    "TTT_DNA_MENU_SELECT"               "SELECT SAMPLE"
    "TTT_DNA_HELP_PRIMARY"              "%s to collect a DNA sample from corpses, items, doors, or buttons"
    "TTT_DNA_HELP_SECONDARY"            "%s to open scan controls"
    // Magneto stick
    "TTT_MAGNET_NAME"                   "Magneto-wrench"
    "TTT_MAGNET_HELP"                   "%s to attach body to surface."
    "TTT_DETACH_NO_ROOM"                  "You cannot drop this here!"
    "TTT_MAGWRENCH_HELP_PRI"            "%s to pick up a body or weapon."
    // Grenades and misc
    "TTT_GRENADE_SMOKE"                 "Smoke grenade"
    "TTT_GRENADE_FIRE"                  "Incendiary grenade"
    "TTT_GRENADE_FLASH"                 "Flashbang"
    "TTT_GRENADE_DECOY"                 "Decoy Grenade"
    "TTT_DECOYGRENADE_DESC"             "Simulates gunfire sounds to confuse enemies.\n\nMimics the sound of your active, primary, secondary, or a random weapon, in that order."
    "TTT_TRIPMINE_NAME"              "Tripmine"
    "TTT_UNARMED_NAME"                  "Holstered"
    "TTT_CROWBAR_NAME"                  "Crowbar"
    "TTT_PISTOL_NAME"                   "Pistol"
    "TTT_RIFLE_NAME"                    "Rifle"
    "TTT_SHOTGUN_NAME"                  "Shotgun"
    // Teleporter
    "TTT_TELE_NAME"                     "Teleporter"
    "TTT_TELE_FAILED"                   "Teleport failed."
    "TTT_TELE_MARKED"                   "Teleport location marked."
    "TTT_TELE_NO_GROUND"                "Cannot teleport unless standing on solid ground!"
    "TTT_TELE_NO_CROUCH"                "Cannot teleport while crouched!"
    "TTT_TELE_NO_MARK"                  "No location marked. Mark a destination before teleporting."
    "TTT_TELE_NO_MARK_GROUND"           "Cannot mark a teleport location unless standing on solid ground!"
    "TTT_TELE_NO_MARK_CROUCH"           "Cannot mark a teleport location while crouched!"
    "TTT_TELE_HELP_PRI"                 "%s teleports to marked location."
    "TTT_TELE_HELP_SEC"                 "%s marks current location."
    "TTT_TELE_DESC"                     "Teleport to a previously marked spot.\n\nTeleporting makes noise, and the number of uses is limited."
    // Ammo names, shown when picked up
    "TTT_AMMO_PISTOL"                   "9mm ammo"
    "TTT_AMMO_SMG1"                     "SMG ammo"
    "TTT_AMMO_BUCKSHOT"                 "Shotgun ammo"
    "TTT_AMMO_357"                      "Rifle ammo"
    "TTT_AMMO_ALYXGUN"                  "Deagle ammo"
    "TTT_AMMO_AR2ALTFIRE"               "Flare ammo"
    "TTT_AMMO_GRAVITY"                  "Poltergeist ammo"
    // HUD interface text
    "TTT_ROUND_WAIT"                    "Waiting"
    "TTT_ROUND_PREP"                    "Preparing"
    "TTT_ROUND_ACTIVE"                  "In progress"
    "TTT_ROUND_POST"                    "Round over"
    "TTT_OVERTIME"                      "OVERTIME"
    "TTT_HASTEMODE"                     "HASTE MODE"
    // TargetID health status
    "TTT_HP_HEALTHY"                    "Healthy"
    "TTT_HP_HURT"                       "Hurt"
    "TTT_HP_WOUNDED"                    "Wounded"
    "TTT_HP_BADWND"                     "Badly Wounded"
    "TTT_HP_DEATH"                      "Near Death"
    // TargetID karma status
    "TTT_KARMA_MAX"                     "Reputable"
    "TTT_KARMA_HIGH"                    "Crude"
    "TTT_KARMA_MED"                     "Trigger-happy"
    "TTT_KARMA_LOW"                     "Dangerous"
    "TTT_KARMA_MIN"                     "Liability"
    // TargetID misc
    "TTT_CORPSE"                        "Corpse"
    "TTT_CORPSE_HINT"                   "Press %s to search. %s + %s to search covertly."
    "TTT_TARGET_DISG"                   " (DISGUISED)"
    "TTT_TARGET_UNID"                   "Unidentified body"
    "TTT_TARGET_TRAITOR"                "FELLOW TRAITOR"
    "TTT_TARGET_DETECTIVE"              "DETECTIVE"
    "TTT_TARGET_CREDITS"                "Search to receive unspent credits"
    // Traitor buttons (HUD buttons with hand icons that only traitors can see)
    "TTT_TBUT_SINGLE"                   "Single use"
    "TTT_TBUT_REUSE"                    "Reusable"
    "TTT_TBUT_RETIME"                   "Reusable after %d seconds"
    "TTT_TBUT_HELP"                     "Press %s to activate"
    // Equipment info lines (on the left above the health/ammo panel)
    "TTT_DISG_HUD"                      "Disguised.\nYour name is hidden."
    "TTT_RADAR_HUD"                     "Radar ready for next scan in: %s"
    // Spectator muting of living/dead
    "TTT_MUTE_LIVING"                   "Living players muted"
    "TTT_MUTE_SPECS"                    "Spectators muted"
    "TTT_MUTE_ALL"                      "All muted"
    "TTT_MUTE_OFF"                      "None muted"
    // Spectators and prop possession
    "TTT_PUNCH_TITLE"                   "CHICKEN-O-METER"
    "TTT_PUNCH_HELP"                    "Move keys or jump: move chicken. Crouch: leave chicken."
    "TTT_PUNCH_MALUS"                   "Your bad score lowered your chicken-o-meter limit by %d"
    "TTT_PUNCH_BONUS"                   "Your good score increased your chicken-o-meter limit by %d!"
    "TTT_SPEC_HELP"                     "Press %s to spawn as a chicken!"
    // Info popups shown when the round starts
    "TTT_INFO_POPUP_INNOCENT"           "You are an innocent Terrorist! But there are traitors around...\nWho can you trust, and who is out to fill you with bullets?\n\nWatch your back and work with your comrades to get out of this alive!"
    "TTT_INFO_POPUP_DETECTIVE"          "You are a Detective! Terrorist HQ has given you special resources to find the traitors.\nUse them to help the innocent survive, but be careful:\nthe traitors will be looking to take you down first!\n\nPress %s to receive your equipment!"
    "TTT_INFO_POPUP_TRAITOR_ALONE"      "You are a TRAITOR! You have no fellow traitors this round.\n\nKill all others to win!\n\nPress %s to receive your special equipment!"
    "TTT_INFO_POPUP_TRAITOR"            "You are a TRAITOR! Work with fellow traitors to kill all others.\nBut take care, or your treason may be discovered...\n\nThese are your comrades:\n%s\n\nPress %s to receive your special equipment!"
    // Various other text
    "TTT_NAME_KICK"                     "A player was automatically kicked for changing their name during a round."
    "TTT_NAME_CANT_CHANGE"              "You cannot change your name while the round is active."
    "TTT_IDLE_POPUP"                    "You were idle for %d seconds and were moved into Spectator-only mode as a result. While you are in this mode, you will not spawn when a new round starts."
    "TTT_IDLE_POPUP_CLOSE"              "Do nothing"
    "TTT_IDLE_POPUP_OFF"                "Disable Spectator-only mode now"
    "TTT_IDLE_WARNING"                  "Warning: you appear to be idle/AFK, and will be made to spectate unless you show activity!"
    "TTT_SPEC_MODE_WARNING_LINE_1"      "You are in Spectator Mode and will not spawn when a round starts."
    "TTT_SPEC_MODE_WARNING_LINE_2"      "To disable this mode, go to Options->Multiplayer->Advanced and uncheck 'Spectate-only mode'."
    // Tips, shown at bottom of screen to spectators
    "TTT_TIPS_PANEL_TITLE"              "Tips"
    "TTT_TIPS_PANEL_TIP"                "Tip:"
    "TTT_TIP1"                          "Traitors can search a corpse silently, without confirming the death, by holding %s and pressing %s on the corpse."
    "TTT_TIP2"                          "Arming a C4 explosive with a longer timer will increase the number of wires that cause it to explode instantly when an innocent attempts to disarm it. It will also beep softer and less often."
